Year,Month,Average
2012,Jan,12.29184945241049
2012,Feb,12.521271152254359
2012,Mar,13.24615866251816
2012,Apr,14.376980383987863
2012,May,15.382133929755112
2012,Jun,16.048355787535446
2012,Jul,16.248834022113094
2012,Aug,16.173655554266723
2012,Sep,15.53736970393212
2012,Oct,14.656623849392842
2012,Nov,13.59253123444608
2012,Dec,12.643345618028286
2013,Jan,12.582291493647606
2013,Feb,12.702926753540078
2013,Mar,13.3928266820058
2013,Apr,14.243131619953942
2013,May,15.193668408926033
2013,Jun,15.999548260030085
2013,Jul,16.149337057169358
2013,Aug,16.12792996152279
2013,Sep,15.574124067539856
2013,Oct,14.467536892851053
2013,Nov,13.515995475265834
2013,Dec,12.783325654702823
2014,Jan,12.548086011170652
2014,Feb,12.610751771296151
2014,Mar,13.476778841308287
2014,Apr,14.419808166888199
2014,May,15.393153327871449
2014,Jun,15.992503015049156
2014,Jul,16.250261736121406
2014,Aug,16.221450468358693
2014,Sep,15.61915919859088
2014,Oct,14.580058103497569
2014,Nov,13.399702034205289
2014,Dec,12.811840820673492
2015,Jan,12.559335416625263
2015,Feb,12.855300738631255
2015,Mar,13.558193183303022
2015,Apr,14.345483004827692
2015,May,15.359343708756365
2015,Jun,16.102693262968636
2015,Jul,16.352590450493423
2015,Aug,16.317212017988254
2015,Sep,15.66868263541665
2015,Oct,14.883226288772208
2015,Nov,13.798940120688401
2015,Dec,13.205224173897019
2016,Jan,12.981187681798653
2016,Feb,13.37031627780151
2016,Mar,13.936144192665079
2016,Apr,14.83627290840676
2016,May,15.624391767279283
2016,Jun,16.202249972536627
2016,Jul,16.577541724846014
2016,Aug,16.496314738916716
2016,Sep,15.795409132507917
2016,Oct,14.734700630159924
2016,Nov,13.763495578936602
2016,Dec,12.993119150948257
2017,Jan,12.817602867583581
2017,Feb,13.193487547748836
2017,Mar,13.884826647634108
2017,Apr,14.644205791714757
2017,May,15.616513316076743
2017,Jun,16.15188680443966
2017,Jul,16.480088220689453
2017,Aug,16.367082013622092
2017,Sep,15.674354676610957
2017,Oct,14.792115197245641
2017,Nov,13.627591919177432
2017,Dec,12.9954384214623
2018,Jan,12.667712637238944
2018,Feb,12.981374247856333
2018,Mar,13.661419331768348
2018,Apr,14.643367323524586
2018,May,15.435169719466076
2018,Jun,16.101619441611003
2018,Jul,16.44730130513332
2018,Aug,16.25664767514241
2018,Sep,15.594273904335095
2018,Oct,14.763473446697251
2018,Nov,13.587577875099445
2018,Dec,12.960808125827283
2019,Jan,12.715582499067805
2019,Feb,13.002632328162234
2019,Mar,13.900274820377492
2019,Apr,14.772266456804484
2019,May,15.578250514607536
2019,Jun,16.29727534787718
2019,Jul,16.607673916435573
2019,Aug,16.462827767779306
2019,Sep,15.82718251438675
2019,Oct,14.912068619877493
2019,Nov,13.77792375799828
2019,Dec,13.175288969245305
2020,Jan,13.005776307986801
2020,Feb,13.281921209983624
2020,Mar,13.817225971581644
2020,Apr,14.773342091065631
2020,May,15.60255168450211
2020,Jun,16.223482587011922
2020,Jul,16.474840401516364
2020,Aug,16.317581493688373
2020,Sep,15.819285606218898
2020,Oct,14.758777918270447
2020,Nov,13.794072420148268
2020,Dec,12.830067780792627
2021,Jan,12.62633457612213
2021,Feb,12.76348125562853
2021,Mar,13.549579394849616
2021,Apr,14.482713174489113
2021,May,15.45781078581167
2021,Jun,16.131719566349343
2021,Jul,16.524809741778817
2021,Aug,16.39946268298648
2021,Sep,15.817737547292122
2021,Oct,14.82918981735734
2021,Nov,13.7286595028305
2021,Dec,12.990999523248863
2022,Jan,12.748527747555618
2022,Feb,12.97159800357363
2022,Mar,13.791544345775387
2022,Apr,14.597443442343357
2022,May,15.434472178681284
2022,Jun,16.24721536695261
2022,Jul,16.577978128879874
2022,Aug,16.411327580784626
2022,Sep,15.78353205981998
2022,Oct,14.843853947818332
2022,Nov,13.516427421421652
2022,Dec,12.903769233178483
